Range,Trailhead,Road Type,14er 1,14er 2,14er 3,14er 4,14er 5
Elk,Maroon Lake,paved,Pyramid Peak, Maroon Peak, North Maroon Peak,,
Elk,Conundrum Creek,"2WD, easy dirt road",Pyramid Peak, Maroon Peak, North Maroon Peak,,
Front,Grays Peak,"2WD, rough dirt road",Pyramid Peak, Maroon Peak, North Maroon Peak,,
Elk,Capitol Creek,Easy 4WD,Pyramid Peak, Maroon Peak, North Maroon Peak,,
Elk,Castle Creek,Moderate 4WD,Pyramid Peak, Maroon Peak, North Maroon Peak,,
Elk,Lead King Basin,Rough 4WD,Pyramid Peak, Maroon Peak, North Maroon Peak,,
Sangres,Lake Como (Blanca Pk),Difficult 4WD,Pyramid Peak, Maroon Peak, North Maroon Peak,,
Front,Echo Lake,paved,Mt. Evans, Mt. Bierstadt,,,
Elk,Snowmass Creek,"2WD, easy dirt road",Mt. Evans, Mt. Bierstadt,,,
Mosquito,Fourmile Creek,"2WD, rough dirt road",Mt. Evans, Mt. Bierstadt,,,
Front,Argentine Pass,Easy 4WD,Mt. Evans, Mt. Bierstadt,,,
Front,Chihuahua Gulch,Moderate 4WD,Mt. Evans, Mt. Bierstadt,,,
Front,Elk Park,paved,Pikes Peak,,,,
Front,Copeland Lake,"2WD, easy dirt road",Pikes Peak,,,,
Mosquito,Iowa Gulch,"2WD, rough dirt road",Pikes Peak,,,,
San Juan,American Basin,Easy 4WD,Pikes Peak,,,,
Front,Grizzly Gulch,Moderate 4WD,Pikes Peak,,,,
Front,Evans/Summit Lake,paved,Mt. Evans, Mt. Bierstadt,,,
Front,Crags Campground,"2WD, easy dirt road",Mt. Evans, Mt. Bierstadt,,,
Mosquito,Kite Lake,"2WD, rough dirt road",Mt. Evans, Mt. Bierstadt,,,
San Juan,Kilpacker basin,Easy 4WD,Mt. Evans, Mt. Bierstadt,,,
Mosquito,Quartzville,Moderate 4WD,Mt. Evans, Mt. Bierstadt,,,
Front,Guanella Pass,paved,Mt. Bierstadt, Mt. Evans,,,
